Unnamed: 0,x,y
222379,931.4138569505237,570.0
222380,931.4180692227072,483.0
222381,931.4222814948904,483.0
222382,931.4243876309822,459.0
222383,931.4285999031656,593.0
222384,931.432812175349,484.0
222385,931.4370244475324,478.0
222386,931.439130583624,191.0
222387,931.4412367197157,357.0
222388,931.4433414603748,459.0
222389,931.4475509416928,504.0
222390,931.4517604230107,498.0
222391,931.4559699043283,485.0
222392,931.4580746449874,423.0
222393,931.4622841263052,432.0
222394,931.4664936076233,570.0
222395,931.470703088941,597.0
222396,931.4728078296,611.0
222397,931.477017310918,604.0
222398,931.481226792236,584.0
222399,931.4854362735537,529.0
222400,931.4896457548716,557.0
222401,931.4917504955307,536.0
222402,931.4959599768486,513.0
222403,931.5001694581664,439.0
222404,931.5043789394842,372.0
222405,931.5064836801433,436.0
222406,931.5106931614612,482.0
222407,931.5149026427788,614.0
222408,931.5191121240966,651.0
222409,931.5212168647557,635.0
222410,931.5254263460738,592.0
222411,931.5296358273916,515.0
222412,931.5338453087096,499.0
222413,931.5380547900273,571.0
222414,931.5401595306863,637.0
222415,931.5443690120043,665.0
222416,931.548578493322,631.0
222417,931.5527879746401,560.0
222418,931.554892715299,518.0
222419,931.5591021966168,551.0
222420,931.5633116779347,504.0
222421,931.5675211592528,496.0
222422,931.5696258999117,514.0
222423,931.5717306405706,63.0
222424,931.5738353812294,514.0
222425,931.5780448625474,478.0
222426,931.5822543438652,485.0
222427,931.5864638251833,462.0
222428,931.588568565842,435.0
222429,931.59277804716,504.0
222430,931.5969875284779,498.0
222431,931.601197009796,535.0
222432,931.6033017504545,458.0
222433,931.6075112317726,400.0
222434,931.6117207130907,379.0
222435,931.6159301944084,415.0
222436,931.6201396757264,482.0
222437,931.6222444163852,423.0
222438,931.6264538977033,395.0
222439,931.6306633790213,348.0
222440,931.6348728603388,302.0
222441,931.636977600998,416.0
222442,931.6411870823157,542.0
222443,931.6453965636338,676.0
222444,931.6496060449516,677.0
222445,931.6517107856104,590.0
222446,931.6559202669284,545.0
222447,931.6601297482463,581.0
