Unnamed: 0,x,y
221870,940.4193842304179,584.0
221871,940.4214881941133,496.0
221872,940.4256961215036,471.0
221873,940.4299040488937,572.0
221874,940.434111976284,514.0
221875,940.4383199036744,452.0
221876,940.4404238673696,476.0
221877,940.44463179476,641.0
221878,940.44883972215,762.0
221879,940.4530476495404,749.0
221880,940.4551516132357,686.0
221881,940.4593595406258,643.0
221882,940.4635674680161,561.0
221883,940.4677753954063,509.0
221884,940.4719833227966,446.0
221885,940.4740872864917,402.0
221886,940.478295213882,384.0
221887,940.4825031412724,393.0
221888,940.4867110686628,342.0
221889,940.4888150323578,486.0
221890,940.4930229597479,608.0
221891,940.4972308871384,653.0
221892,940.5014388145288,623.0
221893,940.5056467419188,660.0
221894,940.5077507056141,726.0
221895,940.5119586330043,713.0
221896,940.5161665603947,762.0
221897,940.5203744877847,931.0
221898,940.52247845148,936.0
221899,940.5266863788704,964.0
221900,940.5308943062607,750.0
221901,940.535102233651,571.0
221902,940.5393101610413,453.0
221903,940.5414141247363,460.0
221904,940.5456220521266,426.0
221905,940.5498299795171,548.0
221906,940.5540379069072,450.0
221907,940.5561418706025,32.0
221908,940.5582458342976,349.0
221909,940.5603513973527,445.0
221910,940.5645625234633,452.0
221911,940.5687736495738,513.0
221912,940.5729847756844,568.0
221913,940.5750903387396,521.0
221914,940.5793014648503,413.0
221915,940.5835125909607,306.0
221916,940.5877237170712,334.0
221917,940.5919348431821,432.0
221918,940.5940404062371,575.0
221919,940.5982515323476,706.0
221920,940.6024626584583,780.0
221921,940.6066737845688,780.0
221922,940.608779347624,816.0
221923,940.6129904737344,669.0
221924,940.6172015998453,481.0
221925,940.6214127259557,423.0
221926,940.6256238520662,552.0
221927,940.6277294151213,674.0
221928,940.631940541232,761.0
221929,940.6361516673427,672.0
221930,940.640362793453,633.0
221931,940.6424683565083,543.0
221932,940.6466794826188,478.0
221933,940.6508906087296,449.0
221934,940.6551017348401,533.0
221935,940.6593128609503,652.0
221936,940.6614184240058,614.0
221937,940.6656295501165,525.0
221938,940.6698406762268,767.0
221939,940.6740518023373,878.0
221940,940.6761573653928,952.0
221941,940.6803684915033,721.0
221942,940.6845796176136,579.0
221943,940.6887907437243,523.0
221944,940.6930018698348,572.0
221945,940.6951074328903,650.0
221946,940.6993185590005,713.0
221947,940.7035296851112,739.0
221948,940.7077408112216,736.0
221949,940.709846374277,740.0
221950,940.7140575003875,687.0
221951,940.718268626498,698.0
221952,940.7224797526086,736.0
221953,940.7266908787192,803.0
221954,940.7287964417744,920.0
221955,940.733007567885,855.0
221956,940.7372186939957,812.0
221957,940.7414298201061,648.0
221958,940.7435353831613,552.0
221959,940.747746509272,471.0
221960,940.7519576353824,445.0
221961,940.7561687614931,483.0
221962,940.7603798876036,556.0
221963,940.7624854506587,545.0
221964,940.7666965767693,510.0
221965,940.77090770288,688.0
221966,940.7751188289903,659.0
221967,940.7772243920456,657.0
221968,940.7814355181563,677.0
221969,940.7856466442668,638.0
221970,940.7898577703774,753.0
221971,940.7940688964877,654.0
221972,940.7961744595433,730.0
221973,940.8003855856537,687.0
221974,940.8045967117642,754.0
221975,940.8088078378747,751.0
221976,940.8109134009301,822.0
221977,940.8151245270406,711.0
221978,940.8193356531513,619.0
221979,940.8235467792616,523.0
221980,940.8277579053723,472.0
221981,940.8298634684274,514.0
221982,940.8340745945379,570.0
221983,940.8382857206484,598.0
221984,940.8424968467592,757.0
221985,940.8467079728696,943.0
221986,940.8488135359247,1111.0
221987,940.8530246620354,978.0
221988,940.8572357881461,959.0
221989,940.8614469142565,820.0
221990,940.8635524773117,833.0
221991,940.8677636034224,712.0
221992,940.8719747295328,668.0
221993,940.8761858556433,531.0
221994,940.880396981754,612.0
221995,940.8825025448093,636.0
221996,940.8867136709198,552.0
221997,940.8909247970304,627.0
221998,940.8951359231407,711.0
221999,940.897241486196,746.0
222000,940.9014526123068,678.0
222001,940.9056637384172,615.0
222002,940.9098748645278,678.0
222003,940.9140859906382,726.0
222004,940.9161915536937,876.0
222005,940.9204026798039,995.0
