,Unnamed: 0,x,y
0,204576,860.3746545235177,876.0
1,204577,860.3767588654022,984.0
2,204578,860.3809675491715,1014.0
3,204579,860.3851762329402,1056.0
4,204580,860.3872805748247,904.0
5,204581,860.3914892585934,691.0
6,204582,860.3956979423626,723.0
7,204583,860.3978022842473,917.0
8,204584,860.4020109680159,1113.0
9,204585,860.4062196517848,1153.0
10,204586,860.4104283355538,1109.0
11,204587,860.4125326774382,883.0
12,204588,860.4167413612073,896.0
13,204589,860.420950044976,822.0
14,204590,860.4230543868605,783.0
15,204591,860.4272630706296,670.0
16,204592,860.4314717543982,753.0
17,204593,860.4335760962828,576.0
18,204594,860.4356804381673,136.0
19,204595,860.4377847800517,720.0
20,204596,860.4419934638206,600.0
21,204597,860.4462021475897,487.0
22,204598,860.4483064894741,540.0
23,204599,860.452515173243,627.0
24,204600,860.4567238570119,621.0
25,204601,860.4588281988965,560.0
26,204602,860.4630368826654,525.0
27,204603,860.4672455664344,453.0
28,204604,860.4714542502031,511.0
29,204605,860.4735585920876,549.0
30,204606,860.4777672758566,569.0
31,204607,860.4819759596255,598.0
32,204608,860.4840803015102,620.0
33,204609,860.4882889852788,621.0
34,204610,860.4924976690479,565.0
35,204611,860.4946020109323,482.0
36,204612,860.4988106947012,369.0
37,204613,860.5030193784703,287.0
38,204614,860.5072280622393,288.0
39,204615,860.5093324041237,405.0
40,204616,860.5135410878925,482.0
41,204617,860.5177497716612,562.0
42,204618,860.5198541135456,741.0
43,204619,860.5240627973149,788.0
44,204620,860.5282714810837,816.0
45,204621,860.5303758229683,805.0
46,204622,860.534584506737,691.0
47,204623,860.5387931905061,578.0
48,204624,860.5430018742751,311.0
49,204625,860.5451062161594,345.0
50,204626,860.5493148999283,485.0
51,204627,860.5535235836974,636.0
52,204628,860.5556279255818,775.0
53,204629,860.5598366093508,791.0
54,204630,860.5640452931195,666.0
55,204631,860.566149635004,412.0
56,204632,860.5682539768884,143.0
57,204633,860.5703583187732,488.0
58,204634,860.5745670025418,478.0
59,204635,860.5787756863107,499.0
60,204636,860.5808800281952,508.0
61,204637,860.5850887119643,452.0
62,204638,860.5892973957332,547.0
63,204639,860.5914017376176,762.0
64,204640,860.5956104213866,820.0
65,204641,860.5998191051552,787.0
66,204642,860.6040277889244,715.0
67,204643,860.6061321308089,695.0
68,204644,860.6103408145777,675.0
69,204645,860.6145494983466,680.0
70,204646,860.616653840231,724.0
71,204647,860.6208625240001,675.0
72,204648,860.625071207769,684.0
73,204649,860.6271755496533,581.0
74,204650,860.6313842334223,513.0
75,204651,860.6355929171913,481.0
76,204652,860.6398016009603,561.0
77,204653,860.6419059428447,459.0
78,204654,860.6461146266138,461.0
79,204655,860.6503233103826,474.0
80,204656,860.6524276522673,524.0
81,204657,860.6566363360361,535.0
82,204658,860.6608450198047,568.0
83,204659,860.6629493616894,609.0
84,204660,860.6671580454582,560.0
85,204661,860.6713667292273,476.0
86,204662,860.6755754129961,456.0
87,204663,860.6776797548805,441.0
88,204664,860.6818884386496,535.0
89,204665,860.6860971224187,511.0
90,204666,860.6882014643028,520.0
91,204667,860.6924101480718,555.0
92,204668,860.6966188318409,626.0
93,204669,860.6987231737253,198.0
94,204670,860.7008275156097,441.0
95,204671,860.702931857494,641.0
96,204672,860.707140541263,644.0
97,204673,860.7113492250319,713.0
98,204674,860.7134535669165,716.0
99,204675,860.7176622506854,734.0
100,204676,860.7218709344542,693.0
101,204677,860.7239752763388,645.0
102,204678,860.7281839601077,713.0
103,204679,860.7323926438768,791.0
104,204680,860.7366013276455,683.0
105,204681,860.7387056695302,606.0
106,204682,860.7429143532988,498.0
107,204683,860.7471230370679,455.0
108,204684,860.7492273789524,383.0
109,204685,860.7534360627212,468.0
110,204686,860.7576447464903,403.0
111,204687,860.7597490883747,387.0
112,204688,860.7639577721435,484.0
113,204689,860.7681664559125,830.0
114,204690,860.7723751396812,838.0
115,204691,860.7744794815657,941.0
116,204692,860.778688165335,910.0
117,204693,860.7828968491037,894.0
118,204694,860.7850011909883,854.0
119,204695,860.7892098747569,838.0
120,204696,860.7934185585261,791.0
