,Unnamed: 0,x,y
0,210000,895.8925865127139,968.0
1,210001,895.8967917787818,977.0
2,210002,895.9009970448496,814.0
3,210003,895.9052023109178,633.0
4,210004,895.9073049439518,665.0
5,210005,895.9115102100195,731.0
6,210006,895.9157154760874,872.0
7,210007,895.9199207421555,899.0
8,210008,895.9220233751894,821.0
9,210009,895.9262286412574,678.0
10,210010,895.9304339073253,639.0
11,210011,895.9346391733933,651.0
12,210012,895.9367418064271,729.0
13,210013,895.940947072495,721.0
14,210014,895.9451523385629,731.0
15,210015,895.947254971597,763.0
16,210016,895.9514602376648,835.0
17,210017,895.9556655037328,875.0
18,210018,895.9598707698008,991.0
19,210019,895.9619734028348,1067.0
20,210020,895.9661786689026,947.0
21,210021,895.9703839349705,984.0
22,210022,895.9745892010385,866.0
23,210023,895.9766918340724,744.0
24,210024,895.9808971001403,737.0
25,210025,895.9851023662084,710.0
26,210026,895.9893076322763,615.0
27,210027,895.9914102653103,591.0
28,210028,895.9956155313781,654.0
29,210029,895.9998207974461,691.0
30,210030,896.004026063514,673.0
31,210031,896.0061286965479,801.0
32,210032,896.010333962616,1016.0
33,210033,896.0145392286838,803.0
34,210034,896.0187444947518,735.0
35,210035,896.0208471277856,714.0
36,210036,896.0250523938538,659.0
37,210037,896.0292576599215,540.0
38,210038,896.0313602929555,661.0
39,210039,896.0355655590236,731.0
40,210040,896.0397708250914,750.0
41,210041,896.0439760911593,751.0
42,210042,896.0460787241933,866.0
43,210043,896.0502839902613,764.0
44,210044,896.0544892563292,767.0
45,210045,896.058694522397,665.0
46,210046,896.060797155431,614.0
47,210047,896.065002421499,548.0
48,210048,896.0692076875669,604.0
49,210049,896.0734129536348,672.0
50,210050,896.0755155866689,676.0
51,210051,896.0797208527368,606.0
52,210052,896.0839261188046,685.0
53,210053,896.0881313848728,654.0
54,210054,896.0902340179066,723.0
55,210055,896.0944392839745,714.0
56,210056,896.0986445500423,649.0
57,210057,896.1007471830765,177.0
58,210058,896.1028498161104,359.0
59,210059,896.104951984775,516.0
60,210060,896.1091563221042,602.0
61,210061,896.1133606594333,670.0
62,210062,896.1154628280979,688.0
63,210063,896.1196671654269,592.0
64,210064,896.1238715027564,569.0
65,210065,896.1280758400856,720.0
66,210066,896.1301780087501,676.0
67,210067,896.1343823460793,618.0
